instance,category,n_nodes,num_groups,relaxation_d,lkh_cost,bsl_cost,cluster_cost,bsl_gap_to_lkh_percent,cluster_gap_to_lkh_percent,cluster_minus_bsl,cluster_improvement_vs_bsl_percent,winner,bsl_time_sec,cluster_time_sec,bsl_total_search_time_sec,cluster_total_search_time_sec,bsl_best_batch,bsl_best_pomo,cluster_best_batch,cluster_best_pomo,bsl_feature_mode,cluster_feature_mode,bsl_decode_mode,cluster_decode_mode,bsl_decode_run,cluster_decode_run,bsl_violation_count,cluster_violation_count,bsl_feasible,cluster_feasible,lkh_tour_file,bsl_tour_file,cluster_tour_file
kroA100-C-3-1-a.ctspd,Cluster_large,100,4,1,22845.0,29199.0,25923.0,27.813525935653317,13.473407747866053,-3276.0,11.21956231377787,cluster,0.059118714183568954,0.08183307759463787,10.898355195298791,10.840384939685464,7,10,3,34,mds,mds,greedy,sample,0,29,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroA100-C-3-1-a.22845.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroA100-C-3-1-a__bsl__29199.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroA100-C-3-1-a__cluster__25923.tour
kroA100-C-5-1-a.ctspd,Cluster_large,100,6,1,22589.0,26964.0,25586.0,19.36783390145646,13.267519589180573,-1378.0,5.110517727340158,cluster,0.07947897724807262,0.08129201456904411,10.404224030673504,10.821616429835558,2,52,0,92,mds,mds,sample,sample,55,58,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroA100-C-5-1-a.22589.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroA100-C-5-1-a__bsl__26964.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroA100-C-5-1-a__cluster__25586.tour
kroB100-C-3-1-a.ctspd,Cluster_large,100,4,1,22141.0,30248.0,26638.0,36.61532902759586,20.310735739126507,-3610.0,11.934673366834172,cluster,0.05903419107198715,0.08184127882122993,10.365791752934456,10.721742423251271,0,11,3,35,mds,mds,greedy,sample,0,24,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroB100-C-3-1-a.22141.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroB100-C-3-1-a__bsl__30248.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroB100-C-3-1-a__cluster__26638.tour
kroB100-C-5-1-a.ctspd,Cluster_large,100,6,1,23159.0,29161.0,26805.0,25.91649034932424,15.743339522431885,-2356.0,8.079283975172318,cluster,0.07932219840586185,0.0631308201700449,10.414984814822674,10.671111799776554,1,74,5,12,mds,mds,sample,greedy,24,0,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroB100-C-5-1-a.23159.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroB100-C-5-1-a__bsl__29161.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroB100-C-5-1-a__cluster__26805.tour
kroC100-C-3-1-a.ctspd,Cluster_large,100,4,1,20910.0,28584.0,24253.0,36.70014347202296,15.987565758010522,-4331.0,15.151833193394907,cluster,0.0592171885073185,0.061410386115312576,10.347950469702482,10.682923955842853,5,24,4,20,mds,mds,greedy,greedy,0,0,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroC100-C-3-1-a.20910.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroC100-C-3-1-a__bsl__28584.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroC100-C-3-1-a__cluster__24253.tour
kroC100-C-5-1-a.ctspd,Cluster_large,100,6,1,22827.0,26821.0,28109.0,17.496823936566347,23.139264905594253,1288.0,-4.802207225681369,bsl,0.07922560535371304,0.08163535222411156,10.361260298639536,10.805884124711156,6,31,1,14,mds,mds,sample,sample,46,18,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroC100-C-5-1-a.22827.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroC100-C-5-1-a__bsl__26821.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroC100-C-5-1-a__cluster__28109.tour
kroD100-C-3-1-a.ctspd,Cluster_large,100,4,1,21944.0,27318.0,25251.0,24.4896099161502,15.070178636529347,-2067.0,7.566439710081265,cluster,0.07931896857917309,0.06083492934703827,10.305092334747314,10.71220712736249,2,93,1,27,mds,mds,sample,greedy,1,0,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroD100-C-3-1-a.21944.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroD100-C-3-1-a__bsl__27318.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroD100-C-3-1-a__cluster__25251.tour
kroD100-C-5-1-a.ctspd,Cluster_large,100,6,1,25102.0,29637.0,26634.0,18.066289538682177,6.103099354633097,-3003.0,10.132604514626987,cluster,0.07916533574461937,0.08066706731915474,10.330259531736374,10.670588498935103,6,26,5,47,mds,mds,sample,sample,32,45,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroD100-C-5-1-a.25102.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroD100-C-5-1-a__bsl__29637.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroD100-C-5-1-a__cluster__26634.tour
kroE100-C-3-1-a.ctspd,Cluster_large,100,4,1,22121.0,32276.0,27983.0,45.90660458387957,26.499706161565932,-4293.0,13.300904696988475,cluster,0.07919025234878063,0.060617685317993164,10.386117447167635,10.640838230028749,2,43,6,8,mds,mds,sample,greedy,14,0,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroE100-C-3-1-a.22121.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroE100-C-3-1-a__bsl__32276.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroE100-C-3-1-a__cluster__27983.tour
kroE100-C-5-1-a.ctspd,Cluster_large,100,6,1,23611.0,28254.0,26282.0,19.664563127355894,11.312523823641522,-1972.0,6.979542719614922,cluster,0.0797656886279583,0.08105398714542389,10.40129922889173,10.570613510906696,6,52,1,39,mds,mds,sample,sample,23,4,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroE100-C-5-1-a.23611.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroE100-C-5-1-a__bsl__28254.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroE100-C-5-1-a__cluster__26282.tour
