instance,category,n_nodes,num_groups,relaxation_d,lkh_cost,bsl_cost,cluster_cost,bsl_gap_to_lkh_percent,cluster_gap_to_lkh_percent,cluster_minus_bsl,cluster_improvement_vs_bsl_percent,winner,bsl_time_sec,cluster_time_sec,bsl_total_search_time_sec,cluster_total_search_time_sec,bsl_best_batch,bsl_best_pomo,cluster_best_batch,cluster_best_pomo,bsl_feature_mode,cluster_feature_mode,bsl_decode_mode,cluster_decode_mode,bsl_decode_run,cluster_decode_run,bsl_violation_count,cluster_violation_count,bsl_feasible,cluster_feasible,lkh_tour_file,bsl_tour_file,cluster_tour_file,bsl_cost_before_local_search,bsl_local_search_improvement,bsl_local_search_passes,bsl_source_tour_file,cluster_cost_before_local_search,cluster_local_search_improvement,cluster_local_search_passes,cluster_source_tour_file
kroA100-C-3-1-a.ctspd,Cluster_large,100,4,1,22845.0,27359.0,24497.0,19.759247100021888,7.2313416502516965,-2862.0,10.460908658942213,cluster,0.059118714183568954,0.08183307759463787,10.898355195298791,10.840384939685464,7,10,3,34,mds,mds,greedy,sample,0,29,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroA100-C-3-1-a.22845.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroA100-C-3-1-a__bsl_same_priority_ls__27359.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroA100-C-3-1-a__cluster_same_priority_ls__24497.tour,29199.0,1840.0,16,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroA100-C-3-1-a__bsl__29199.tour,25923.0,1426.0,14,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroA100-C-3-1-a__cluster__25923.tour
kroA100-C-5-1-a.ctspd,Cluster_large,100,6,1,22589.0,25689.0,24553.0,13.72349373588915,8.694497321705255,-1136.0,4.4221262018762895,cluster,0.07947897724807262,0.08129201456904411,10.404224030673504,10.821616429835558,2,52,0,92,mds,mds,sample,sample,55,58,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroA100-C-5-1-a.22589.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroA100-C-5-1-a__bsl_same_priority_ls__25689.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroA100-C-5-1-a__cluster_same_priority_ls__24553.tour,26964.0,1275.0,16,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroA100-C-5-1-a__bsl__26964.tour,25586.0,1033.0,11,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroA100-C-5-1-a__cluster__25586.tour
kroB100-C-3-1-a.ctspd,Cluster_large,100,4,1,22141.0,27761.0,25039.0,25.38277403911296,13.088839709136895,-2722.0,9.805122293865494,cluster,0.05903419107198715,0.08184127882122993,10.365791752934456,10.721742423251271,0,11,3,35,mds,mds,greedy,sample,0,24,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroB100-C-3-1-a.22141.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroB100-C-3-1-a__bsl_same_priority_ls__27761.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroB100-C-3-1-a__cluster_same_priority_ls__25039.tour,30248.0,2487.0,16,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroB100-C-3-1-a__bsl__30248.tour,26638.0,1599.0,16,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroB100-C-3-1-a__cluster__26638.tour
kroB100-C-5-1-a.ctspd,Cluster_large,100,6,1,23159.0,28310.0,26143.0,22.241893000561337,12.884839587201519,-2167.0,7.654539032144118,cluster,0.07932219840586185,0.0631308201700449,10.414984814822674,10.671111799776554,1,74,5,12,mds,mds,sample,greedy,24,0,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroB100-C-5-1-a.23159.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroB100-C-5-1-a__bsl_same_priority_ls__28310.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroB100-C-5-1-a__cluster_same_priority_ls__26143.tour,29161.0,851.0,13,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroB100-C-5-1-a__bsl__29161.tour,26805.0,662.0,8,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroB100-C-5-1-a__cluster__26805.tour
kroC100-C-3-1-a.ctspd,Cluster_large,100,4,1,20910.0,26015.0,23758.0,24.414155906264945,13.62027737924438,-2257.0,8.675763982317894,cluster,0.0592171885073185,0.061410386115312576,10.347950469702482,10.682923955842853,5,24,4,20,mds,mds,greedy,greedy,0,0,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroC100-C-3-1-a.20910.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroC100-C-3-1-a__bsl_same_priority_ls__26015.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroC100-C-3-1-a__cluster_same_priority_ls__23758.tour,28584.0,2569.0,16,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroC100-C-3-1-a__bsl__28584.tour,24253.0,495.0,11,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroC100-C-3-1-a__cluster__24253.tour
kroC100-C-5-1-a.ctspd,Cluster_large,100,6,1,22827.0,26048.0,26622.0,14.110483199719631,16.625049283742936,574.0,-2.203624078624079,bsl,0.07922560535371304,0.08163535222411156,10.361260298639536,10.805884124711156,6,31,1,14,mds,mds,sample,sample,46,18,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroC100-C-5-1-a.22827.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroC100-C-5-1-a__bsl_same_priority_ls__26048.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroC100-C-5-1-a__cluster_same_priority_ls__26622.tour,26821.0,773.0,9,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroC100-C-5-1-a__bsl__26821.tour,28109.0,1487.0,15,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroC100-C-5-1-a__cluster__28109.tour
kroD100-C-3-1-a.ctspd,Cluster_large,100,4,1,21944.0,24789.0,24661.0,12.964819540648925,12.381516587677725,-128.0,0.5163580620436483,cluster,0.07931896857917309,0.06083492934703827,10.305092334747314,10.71220712736249,2,93,1,27,mds,mds,sample,greedy,1,0,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroD100-C-3-1-a.21944.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroD100-C-3-1-a__bsl_same_priority_ls__24789.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroD100-C-3-1-a__cluster_same_priority_ls__24661.tour,27318.0,2529.0,20,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroD100-C-3-1-a__bsl__27318.tour,25251.0,590.0,10,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroD100-C-3-1-a__cluster__25251.tour
kroD100-C-5-1-a.ctspd,Cluster_large,100,6,1,25102.0,28572.0,25424.0,13.823599713170264,1.2827663134411602,-3148.0,11.017779644407112,cluster,0.07916533574461937,0.08066706731915474,10.330259531736374,10.670588498935103,6,26,5,47,mds,mds,sample,sample,32,45,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroD100-C-5-1-a.25102.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroD100-C-5-1-a__bsl_same_priority_ls__28572.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroD100-C-5-1-a__cluster_same_priority_ls__25424.tour,29637.0,1065.0,14,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroD100-C-5-1-a__bsl__29637.tour,26634.0,1210.0,16,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroD100-C-5-1-a__cluster__26634.tour
kroE100-C-3-1-a.ctspd,Cluster_large,100,4,1,22121.0,29183.0,26706.0,31.92441571357534,20.72691107996926,-2477.0,8.487818250351232,cluster,0.07919025234878063,0.060617685317993164,10.386117447167635,10.640838230028749,2,43,6,8,mds,mds,sample,greedy,14,0,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroE100-C-3-1-a.22121.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroE100-C-3-1-a__bsl_same_priority_ls__29183.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroE100-C-3-1-a__cluster_same_priority_ls__26706.tour,32276.0,3093.0,20,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroE100-C-3-1-a__bsl__32276.tour,27983.0,1277.0,11,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroE100-C-3-1-a__cluster__27983.tour
kroE100-C-5-1-a.ctspd,Cluster_large,100,6,1,23611.0,27028.0,25793.0,14.4720681038499,9.241455253907077,-1235.0,4.569335503921859,cluster,0.0797656886279583,0.08105398714542389,10.40129922889173,10.570613510906696,6,52,1,39,mds,mds,sample,sample,23,4,0,0,True,True,/root/autodl-tmp/NEW_py_ver/CTSPd(SOTA)/TOURS/Cluster_large/kroE100-C-5-1-a.23611.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroE100-C-5-1-a__bsl_same_priority_ls__27028.tour,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64_plus_same_priority_ls20__10_instances/tours/kroE100-C-5-1-a__cluster_same_priority_ls__25793.tour,28254.0,1226.0,15,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroE100-C-5-1-a__bsl__28254.tour,26282.0,489.0,5,/root/autodl-tmp/NEW_py_ver/comparison_results/sota_cluster_large_n100_d1__bsl_vs_cluster__enhanced_inference_mds_aug_sample64__10_instances/tours/kroE100-C-5-1-a__cluster__26282.tour
