"model_a_key","model_a","model_b_key","model_b","wins","losses","ties","mean_cost_delta_a_minus_b"
"baseline","Baseline","full_learnable","Full learnable bias","3","7","0","1277.2"
"baseline","Baseline","scheduled_bias","Scheduled/fixed bias","1","9","0","1733.5"
"baseline","Baseline","wo_all_bias","w/o all bias","3","7","0","1251.3"
"baseline","Baseline","wo_fusion_gate","w/o fusion gate","3","7","0","1037.6"
"baseline","Baseline","wo_group_embedding","w/o group embedding","0","10","0","2766.1"
"full_learnable","Full learnable bias","baseline","Baseline","7","3","0","-1277.2"
"full_learnable","Full learnable bias","scheduled_bias","Scheduled/fixed bias","4","6","0","456.3"
"full_learnable","Full learnable bias","wo_all_bias","w/o all bias","5","5","0","-25.9"
"full_learnable","Full learnable bias","wo_fusion_gate","w/o fusion gate","7","3","0","-239.6"
"full_learnable","Full learnable bias","wo_group_embedding","w/o group embedding","1","9","0","1488.9"
"scheduled_bias","Scheduled/fixed bias","baseline","Baseline","9","1","0","-1733.5"
"scheduled_bias","Scheduled/fixed bias","full_learnable","Full learnable bias","6","4","0","-456.3"
"scheduled_bias","Scheduled/fixed bias","wo_all_bias","w/o all bias","6","4","0","-482.2"
"scheduled_bias","Scheduled/fixed bias","wo_fusion_gate","w/o fusion gate","7","3","0","-695.9"
"scheduled_bias","Scheduled/fixed bias","wo_group_embedding","w/o group embedding","0","10","0","1032.6"
"wo_all_bias","w/o all bias","baseline","Baseline","7","3","0","-1251.3"
"wo_all_bias","w/o all bias","full_learnable","Full learnable bias","5","5","0","25.9"
"wo_all_bias","w/o all bias","scheduled_bias","Scheduled/fixed bias","4","6","0","482.2"
"wo_all_bias","w/o all bias","wo_fusion_gate","w/o fusion gate","6","4","0","-213.7"
"wo_all_bias","w/o all bias","wo_group_embedding","w/o group embedding","2","8","0","1514.8"
"wo_fusion_gate","w/o fusion gate","baseline","Baseline","7","3","0","-1037.6"
"wo_fusion_gate","w/o fusion gate","full_learnable","Full learnable bias","3","7","0","239.6"
"wo_fusion_gate","w/o fusion gate","scheduled_bias","Scheduled/fixed bias","3","7","0","695.9"
"wo_fusion_gate","w/o fusion gate","wo_all_bias","w/o all bias","4","6","0","213.7"
"wo_fusion_gate","w/o fusion gate","wo_group_embedding","w/o group embedding","0","10","0","1728.5"
"wo_group_embedding","w/o group embedding","baseline","Baseline","10","0","0","-2766.1"
"wo_group_embedding","w/o group embedding","full_learnable","Full learnable bias","9","1","0","-1488.9"
"wo_group_embedding","w/o group embedding","scheduled_bias","Scheduled/fixed bias","10","0","0","-1032.6"
"wo_group_embedding","w/o group embedding","wo_all_bias","w/o all bias","8","2","0","-1514.8"
"wo_group_embedding","w/o group embedding","wo_fusion_gate","w/o fusion gate","10","0","0","-1728.5"
