"instance_id","lkh_cost","baseline_cost","baseline_gap_percent","baseline_cost_before_local_search","baseline_local_search_improvement","baseline_feature_mode","baseline_decode_mode","baseline_decode_run","full_learnable_cost","full_learnable_gap_percent","full_learnable_cost_before_local_search","full_learnable_local_search_improvement","full_learnable_feature_mode","full_learnable_decode_mode","full_learnable_decode_run","scheduled_bias_cost","scheduled_bias_gap_percent","scheduled_bias_cost_before_local_search","scheduled_bias_local_search_improvement","scheduled_bias_feature_mode","scheduled_bias_decode_mode","scheduled_bias_decode_run","wo_all_bias_cost","wo_all_bias_gap_percent","wo_all_bias_cost_before_local_search","wo_all_bias_local_search_improvement","wo_all_bias_feature_mode","wo_all_bias_decode_mode","wo_all_bias_decode_run","wo_fusion_gate_cost","wo_fusion_gate_gap_percent","wo_fusion_gate_cost_before_local_search","wo_fusion_gate_local_search_improvement","wo_fusion_gate_feature_mode","wo_fusion_gate_decode_mode","wo_fusion_gate_decode_run","wo_group_embedding_cost","wo_group_embedding_gap_percent","wo_group_embedding_cost_before_local_search","wo_group_embedding_local_search_improvement","wo_group_embedding_feature_mode","wo_group_embedding_decode_mode","wo_group_embedding_decode_run","best_model_key","best_model_cost","best_model_gap_percent"
"kroA100-C-3-1-a","22845","27359","19.7592471000219","29199","1840","mds","greedy","0","26161","14.5152112059532","27352","1191","mds","greedy","0","24519","7.32764281024294","25962","1443","mds","sample","26","23519","2.95031735609543","25725","2206","mds","greedy","0","26717","16.9490041584592","28407","1690","mds","greedy","0","24453","7.03873933026921","25686","1233","mds","sample","13","wo_all_bias","23519","2.95031735609543"
"kroA100-C-5-1-a","22589","25897","14.6442958962327","27071","1174","mds","sample","26","24626","9.01766346451813","25398","772","mds","greedy","0","24245","7.33100181504272","25386","1141","mds","sample","34","24164","6.97242020452433","25512","1348","mds","sample","64","24229","7.26017087963168","25315","1086","mds","sample","3","23330","3.28035769622383","25184","1854","mds","sample","13","wo_group_embedding","23330","3.28035769622383"
"kroB100-C-3-1-a","22141","27761","25.382774039113","30248","2487","mds","greedy","0","26110","17.926019601644","28024","1914","anchor","greedy","0","25532","15.3154780723545","27116","1584","mds","sample","57","26233","18.4815500654894","26993","760","mds","greedy","0","27858","25.8208752992186","29819","1961","mds","greedy","0","25257","14.0734384174157","26502","1245","mds","sample","40","wo_group_embedding","25257","14.0734384174157"
"kroB100-C-5-1-a","23159","28795","24.3361112310549","29363","568","mds","sample","28","25753","11.2008290513407","26264","511","mds","sample","41","26143","12.8848395872015","26805","662","mds","greedy","0","25624","10.6438101817868","26353","729","mds","sample","28","26056","12.5091756984326","27326","1270","mds","sample","32","25664","10.8165292111058","26237","573","mds","sample","1","wo_all_bias","25624","10.6438101817868"
"kroC100-C-3-1-a","20910","26015","24.4141559062649","28584","2569","mds","greedy","0","23472","12.2525107604017","25425","1953","mds","sample","10","23758","13.6202773792444","24253","495","mds","greedy","0","24341","16.4084170253467","25263","922","mds","sample","52","23113","10.5356288857006","25574","2461","mds","sample","24","22662","8.37876614060258","23769","1107","mds","sample","56","wo_group_embedding","22662","8.37876614060258"
"kroC100-C-5-1-a","22827","25441","11.4513514697507","26768","1327","mds","sample","7","26431","15.7883208481185","27521","1090","mds","greedy","0","26049","14.1148639768695","28162","2113","mds","sample","9","26807","17.4354930564682","27549","742","mds","greedy","0","26690","16.9229421299338","29130","2440","mds","greedy","0","24093","5.54606387173085","24625","532","mds","sample","48","wo_group_embedding","24093","5.54606387173085"
"kroD100-C-3-1-a","21944","25146","14.5916879329202","27156","2010","mds","sample","18","25488","16.1502005103901","26229","741","mds","greedy","0","24661","12.3815165876777","25251","590","mds","greedy","0","27717","26.3078745898651","28381","664","mds","greedy","0","26596","21.199416697047","28104","1508","mds","greedy","0","23463","6.9221655122129","24302","839","mds","sample","27","wo_group_embedding","23463","6.9221655122129"
"kroD100-C-5-1-a","25102","28672","14.2219743446737","29498","826","mds","sample","1","25340","0.948131622978249","26065","725","mds","sample","27","25666","2.24683292167955","26672","1006","mds","sample","54","25849","2.97585849733089","26855","1006","mds","sample","23","25887","3.12724085730221","26812","925","mds","sample","25","25479","1.50187236076807","26503","1024","mds","sample","39","full_learnable","25340","0.948131622978249"
"kroE100-C-3-1-a","22121","28253","27.720265810768","33046","4793","mds","sample","23","28853","30.4326205867728","29761","908","mds","greedy","0","26706","20.7269110799693","27983","1277","mds","greedy","0","28320","28.0231454274219","31065","2745","mds","greedy","0","27019","22.141856154785","28450","1431","mds","greedy","0","23081","4.33976764160752","25165","2084","mds","sample","63","wo_group_embedding","23081","4.33976764160752"
"kroE100-C-5-1-a","23611","27046","14.5483037567236","27719","673","mds","sample","45","25379","7.48803523781288","26352","973","mds","sample","7","25771","9.14827834483927","26116","345","mds","sample","55","25298","7.14497479988141","25762","464","mds","sample","55","25844","9.45745627038245","27050","1206","mds","sample","54","25242","6.90779721316336","26033","791","mds","sample","32","wo_group_embedding","25242","6.90779721316336"
